Participant_ID,SQ02,SQ03,SQ04,SQ05,SQ06,SQ07,SQ08,SQ09,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,SQ17,SQ18,SQ19,SQ20,SQ21,SQ22,SQ23,SQ24,SQ25,SQ26,SQ27,SQ28,SQ29,SQ30
P01,Pós-doutorado,Mais de 10 anos,Pesquisador,Educação,Brasil,"Flexibilidade, Facilidade de Integração","Refatoração de código, Revisão de código",Falta de documentação,Não,Revisão da dívida técnica,Redução de defeitos,Git/GitHub,Eficaz,Não,,Falta de treinamento,Colaboração com outros especialistas,Dificulta,Requisitos,,Alocação de recursos,Sim,,Redução de defeitos,Testes específicos,Falta de ferramentas,Sim,Integração contínua,Melhor resposta a mudanças
P02,Doutorado,Mais de 10 anos,Engenheiro de Software,Saúde,Brasil,"Estabilidade, Segurança, Legibilidade do código","Análise de obsolescência, Testes automatizados","Integração de novas tecnologias, Falta de documentação",Não,"Refatoração de código, Gerenciamento de configuração","Maior eficiência, Redução de custos, Melhoria na qualidade do software","Solar, LLVM",Eficaz,Não,,"Complexidade do código, Falta de treinamento","Ferramentas especializadas, Automação de processos",Depende das tecnologias,"Planejamento, Implementação",,"Previsão de problemas futuros, Coordenação entre equipes, Integração de novas tecnologias",Não,,"Qualidade do código, Redução de defeitos, Consumo de energia",Avaliação manual,"Variedade de sistemas, Complexidade das métricas",Sim,"Customização de sprints, Ajustes na documentação","Maior flexibilidade, Aumento da colaboração"
P03,Graduação,Menos de 1 ano,Engenheiro de Software,Utilities,Brasil,"Estabilidade, Facilidade de Integração, Segurança","Refatoração de código, Revisão de código, Testes automatizados","Limitações de hardware, Falta de documentação",Não,"Refatoração de código, Testes automatizados","Melhoria na coordenação de processos, Melhoria na qualidade do software",Git/GitHub,Eficaz,Não,,"Restrições de tempo, Falta de treinamento","Ferramentas especializadas, Colaboração com outros especialistas",Depende das tecnologias,"Design, Implementação, Testes",,"Previsão de problemas futuros, Alocação de recursos, Identificação de requisitos",Sim,,"Redução de defeitos, Desempenho em tempo real",Ferramentas de monitoramento,Variedade de sistemas,Sim,Ajustes na documentação,"Maior flexibilidade, Melhor resposta a mudanças, Aumento da colaboração, Redução de retrabalho"
P04,Graduação,Menos de 1 ano,Gerente de Projetos,Telecomunicações,Brasil,"Estabilidade, Eficiência, Segurança","Refatoração de código, Revisão de código, Testes automatizados","Integração de novas tecnologias, Falta de documentação, Retrabalho frequente",Não,"Inspeção de código, Refatoração de código, Testes automatizados","Maior eficiência, Melhoria na qualidade do software",Git/GitHub,Neutro,Não,,"Restrições de tempo, Restrições de orçamento","Colaboração com outros especialistas, Automação de processos",Depende das tecnologias,"Implementação, Testes","A Implementação é afetada quando você precisa corrigir erros ou adicionar novas funcionalidades, o que pode complicar o código que já está lá. Já os Testes sofrem impacto porque é necessário refazer testes antigos e criar novos, garantindo que as mudanças não causem problemas e que tudo continue funcionando bem.","Previsão de problemas futuros, Coordenação entre equipes, Integração de novas tecnologias",Sim,O retrabalho acaba ocorrendo com frequência moderada.,"Redução de defeitos, Eficácia das ferramentas, Desempenho em tempo real, Consumo de energia","Ferramentas de monitoramento, Benchmarking",Variedade de sistemas,Sim,"Customização de sprints, Ajustes na documentação","Maior flexibilidade, Melhor resposta a mudanças, Redução de retrabalho"
P05,Graduação,5-10 anos,Engenheiro de Software,Telecomunicações,Belgica,"Estabilidade, Flexibilidade, Facilidade de Integração","Refatoração de código, Revisão de código, Análise de obsolescência, Testes automatizados","Integração de novas tecnologias, Complexidade do design, Limitações de hardware, Falta de documentação, Retrabalho frequente",Não,"Inspeção de código, Análise de obsolescência, Gerenciamento de configuração, Testes automatizados","Maior eficiência, Melhoria na qualidade do software, Redução de defeitos","Jenkins, Git/GitHub, QA Cafe / CDRouter",Neutro,Sim,"Por exemplo eu ja usei Gitlab, Azure DevOps e Gerrit para revisao de codigo, e a minha favorita e o GitLab. Para pipelines pessoalmente eu prefiro o Jenkins, nao gostei do gerenciamento de pipelines do GitLab e muito menos do Azure DevOps. No passado ja utilizei Sonar, e gostei, infelizmente minha empresa atual nao utiliza o Sonar.",Restrições de tempo,"Ferramentas especializadas, Automação de processos",Depende das tecnologias,"Implementação, Testes","A manutencao do produto sofre mais significativamente no meio de desenvolvimento do produto entre a implemntacao ""final"" e os testes. A manutencao por experiencia nunca tem problema no ciclo inicial de desenvolvimento, pois eh a fase com maior tempo,  e menos pressao dos clientes. Todo projeto sofre com a criacao de expectativa das areas comerciais, gerando um backlog acumulado irreal, e que explode la na frente no projeto. Ate agora todo projeto que participei sofreu isso, eh uma constante da industria.

Geralmente queremos adicionar novas ferramentas, ou novas formas de se trabalhar para contornar problemas. Porem geralmente nao ha mais tempo, pois todos os setores das empresas ficam sobrecarregados. E os vendedores que venderam o sonho geralmente ja nem na empresa trabalham mais.","Previsão de problemas futuros, Alocação de recursos, Identificação de requisitos, Coordenação entre equipes, Integração de novas tecnologias, Como disse anteriormente, todos os problemas estao ligados as expectativas criadas, que nunca sao passadas de forma transparente para a equipe de desenvolvimento e arquitetios. Nem os requisitos podem ser elaborados com calma, pois muitos dos requisitos alto nivel sao passados de forma absurda no meio do projeto. ",Sim,"TODA empresa que trabalhei teve retrabalho, e em TODAS as vezes nao foi por falta de planejamento, e sim por falta de transparencia entre os setores.","Qualidade do código, Tempo de manutenção, Redução de defeitos, Desempenho em tempo real, Consumo de energia, Quantidade de hardwares e configuracoes suportados ao mesmo tempo.","Ferramentas de monitoramento, Testes específicos, Avaliação manual, Benchmarking","Variedade de sistemas, Resistência da equipe",Não,"Customização de sprints, Integração contínua, Ajustes na documentação, Redefinição de papéis","Metodologia agil eh soh mais uma metodologia. Eu ja trabalhei com metodologia agil de forma que funcionou, e ja vi nao funcionar ( na realidade na maioria das vezes falha). Depende muito do tamanho do time, escopo do projeto, arquitetura do projeto, cobranca, ferramentas disponiveis, cultura da empresa, e ate cultura do pais. Hoje nao trabalhamos com metodologia agil por alguns motivos, um deles eh para garantir a saude psicologica dos funcionarios. Nao trabalhamos com entregas curtas, e sim com milestones anuais, e o funcionario tem a liberdade maior, sem seguir nenhum rito especifico."
P06,Doutorado,Menos de 1 ano,Pesquisador,Educação e Treinamento,Portugal,"Estabilidade, Flexibilidade, Facilidade de Integração, Segurança",Gerenciamento de configuração,"Integração de novas tecnologias, Limitações de hardware, Retrabalho frequente",Não,"Inspeção de código, Análise de obsolescência, Testes automatizados",Maior eficiência,Git/GitHub,Eficaz,Não,,"Complexidade do código, Restrições de tempo, Falta de treinamento, Restrições de orçamento","Treinamento adicional, Colaboração com outros especialistas, Melhoria na documentação",Depende das tecnologias,"Implementação, Testes, Descontinuação",,"Previsão de problemas futuros, Integração de novas tecnologias",Sim,,"Tempo de manutenção, Redução de defeitos, Desempenho em tempo real",Ferramentas de monitoramento,"Variedade de sistemas, Complexidade das métricas, Resistência da equipe",Não,"Integração contínua, Ajustes na documentação, Redefinição de papéis","Maior flexibilidade, Redução de retrabalho"
P07,Pós-doutorado,Mais de 10 anos,Pesquisador,Ensino e Pesquisa Espacial,Brasil,"Eficiência, Segurança, Legibilidade do código",Testes automatizados,"Integração de novas tecnologias, Falta de documentação, Retrabalho frequente",Não,"Refatoração de código, Gerenciamento de configuração","Redução de custos, Melhoria na qualidade do software",Git/GitHub,Eficaz,Não,Não saberia responder,"Falta de ferramentas adequadas, Complexidade do código, Falta de treinamento",Colaboração com outros especialistas,Facilita,"Implementação, Testes",,"Previsão de problemas futuros, Identificação de requisitos, Coordenação entre equipes",Não,,"Redução de defeitos, Eficácia das ferramentas","Testes específicos, Benchmarking","Falta de ferramentas, Resistência da equipe",Não,Redefinição de papéis,Aumento da colaboração
P08,Mestrado,1-3 anos,Coordenador de TI,Aeroespacial,Brasil,"Estabilidade, Segurança, Legibilidade do código","Refatoração de código, Gerenciamento de configuração","Limitações de hardware, Retrabalho frequente",Sim,"Refatoração de código, Análise de obsolescência, Gerenciamento de configuração","Melhoria na coordenação de processos, Melhoria na qualidade do software, Redução de defeitos",Git/GitHub,Eficaz,Não,,"Complexidade do código, Restrições de tempo","Treinamento adicional, Colaboração com outros especialistas",Depende das tecnologias,Descontinuação,A manutenção tem impacto direto na fase.,"Previsão de problemas futuros, Alocação de recursos, Integração de novas tecnologias",Sim,As vezes,"Qualidade do código, Tempo de manutenção, Desempenho em tempo real, Consumo de energia",Testes específicos,"Variedade de sistemas, Complexidade das métricas",Sim,"Integração contínua, Ajustes na documentação","Maior flexibilidade, Melhor resposta a mudanças, Aumento da colaboração"
P09,Mestrado,3-5 anos,Engenheiro de Software,Robótica,Brasil,"Estabilidade, Legibilidade do código","Refatoração de código, Revisão de código, Gerenciamento de configuração, Testes automatizados","Integração de novas tecnologias, Falta de documentação",Não,"Gerenciamento de configuração, Testes automatizados, Revisão da dívida técnica","Maior eficiência, Melhoria na coordenação de processos, Redução de custos, Melhoria na qualidade do software, Redução de defeitos",Git/GitHub,Neutro,Não,,"Falta de ferramentas adequadas, Falta de treinamento, Restrições de orçamento","Treinamento adicional, Colaboração com outros especialistas, Melhoria na documentação",Depende das tecnologias,"Planejamento, Requisitos, Design, Implementação, Testes, Descontinuação",,"Previsão de problemas futuros, Identificação de requisitos, Integração de novas tecnologias",Sim,,"Qualidade do código, Redução de defeitos, Desempenho em tempo real","Testes específicos, Avaliação manual",Falta de ferramentas,Não,"Customização de sprints, Integração contínua, Ajustes na documentação","Maior flexibilidade, Melhor resposta a mudanças"
P10,Graduação,Menos de 1 ano,Engenheiro de Dados,Energia,Holanda,"Eficiência, Flexibilidade, Facilidade de Integração","Refatoração de código, Revisão de código, Testes automatizados","Complexidade do design, Limitações de hardware, Falta de documentação",Não,"Análise de obsolescência, Testes automatizados, Revisão da dívida técnica","Melhoria na coordenação de processos, Redução de custos, Melhoria na qualidade do software",Git/GitHub,Eficaz,Não,,"Restrições de tempo, Falta de treinamento","Colaboração com outros especialistas, Automação de processos, Melhoria na documentação",Depende das tecnologias,"Testes, Descontinuação",,"Identificação de requisitos, Coordenação entre equipes, Integração de novas tecnologias",Sim,,"Qualidade do código, Eficácia das ferramentas, Desempenho em tempo real, Consumo de energia","Ferramentas de monitoramento, Benchmarking","Variedade de sistemas, Complexidade das métricas, Resistência da equipe",Sim,"Customização de sprints, Integração contínua, Redefinição de papéis, Mudança de mindset em todo o time","Aumento da colaboração, Redução de retrabalho"
