Participant_ID,Raw_SQ24_Response,Reported_Category
P01,,Not specified / not classifiable
P03,,Not specified / not classifiable
P04,O retrabalho acaba ocorrendo com frequência moderada.,Moderate
P05,"TODA empresa que trabalhei teve retrabalho, e em TODAS as vezes nao foi por falta de planejamento, e sim por falta de transparencia entre os setores.",High
P06,,Not specified / not classifiable
P08,As vezes,Moderate
P09,,Not specified / not classifiable
P10,,Not specified / not classifiable
P11,,Not specified / not classifiable
P12,,Not specified / not classifiable
P13,"Mudanças de escopo do projeto, adição de novas funcionalidades inicialmente não identificadas, a 'pressa' para entregar a solução sem definir corretamente a arquitetura proposta da solução.",Not specified / not classifiable
P15,,Not specified / not classifiable
P16,,Not specified / not classifiable
P17,,Not specified / not classifiable
P18,,Not specified / not classifiable
P19,Alta,High
P20,Quase todos os projetos que trabalhei.,High
P21,Em quase todos os projetos que trabalhei.,High
P22,"Em alguns projetos sim, frequência baixa.",Low
P23,Alta,High
P24,Muita,High
P26,Baixa,Low
P27,,Not specified / not classifiable
P28,Alta,High
P29,,Not specified / not classifiable
P30,"No começo bastante, mas agora com mais experiencia o levantamento de requisitos bem feito ajuda na redução de retrabalhos",Not specified / not classifiable
P31,,Not specified / not classifiable
P32,,Not specified / not classifiable
P33,Raramente,Low
P34,Não consigo mensurar,Not specified / not classifiable
P35,Algumas vezes,Moderate
P36,As vezes,Moderate
